0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
Router  Location  Current Index  Response Time (ms)  Packet Loss (%)  anhm7204.exo.com  California (Anaheim)  0  0  100  mc-gateway.lansmart.com  California (Fresno)  98  17  0  dnsauth1.sys.gtei.net  California (Los Angeles)  99  10  0  rx0ar-technicare.ed.bigpipeinc.com  Canada (Edmonton)  95  49  0  gw02.wlfdle.phub.net.cable.rogers.com  Canada (Ontario)  100  0  0  anguhub14.net.ubc.ca  Canada (Vancouver)  0  0  100  loopback0.gw2.den4.alter.net  Colorado (Denver)  0  0  100  router.firstcls.com  Georgia  0  0  100  atl-datacenter-gw2.capitalinternet.com  Georgia (Atlanta)  0  0  100  loopback0.gw9.chi2.alter.net  Illinois (Chicago)  100  0  0  cisco-gnarly.n-connect.net  Iowa  100  0  0  crystal-cavern.ctcco.com  Kansas (Lenexa)  0  0  100  cisco.syssrc.com  Maryland  97  26  0  router-in.nemetschek.net  Maryland (Columbia)  100  0  0  pos1-0-0-155m.ar1.bos1.gblx.net  Massachusetts (Boston)  92  72  0  lan-d32-0606-0578.uninet-ide.com.mx  Mexico (Chihuahua)  100  0  0  rr1.torixt.avantel.net.mx  Mexico (Coahuila)  96  40  0  rr2.gdlmha.avantel.net.mx  Mexico (Guadalajara)  96  35  0  rr1.reyixt.avantel.net.mx  Mexico (Tamaulipas)  95  47  0  revenant.netservicesgroup.com  Michigan (Saginaw)  100  0  0  border0-e0.oc48-ypsi.hdl.com  Michigan (Ypsilanti)  0  0  100  wormhole.homeisp.com  Missouri (Kansas City)  100  0  0  pwps-core01.powerpulse.cc  Nevada (Las Vegas)  94  55  0  isp.state.nh.us  New Hampshire  100  0  0  sugaree.arorapc.com  New Jersey  100  0  0  ac-gw.dandy.net  New Jersey (Atlantic City)  0  0  100  180.atm6-0.gw7.nyc9.alter.net  New York (NYC)  0  0  100  wookie.core.3z.net  Ohio (Cincinnati)  0  0  100  sl-bb21-pen-15-0.sprintlink.net  Pennsylvania (Philadelphia)  0  0  100  gw-inet.ktc.com  Texas  100  0  0  core-router.centramedia.net  Texas (Pampa)  0  0  100  www.xmission.com  Utah (Salt Lake City)  96  34  0  er01.asbn.eli.net  Virginia (Ashburn)  0  0  100  core1-sttl.sitespecific.net  Washington (Seattle)  0  0  100  gate.netwrx1.com  Wisconsin  92  74  0  core-1601-bmia-elkwpop-1-3.mia.net  Wisconsin (Elkhorn)  0  0  100  5dl-dst-rt2.5ninesdata.com  Wisconsin (Madison)  100  0  0,Router,Location,Current Index,Response Time (ms),Packet Loss (%),anhm7204.exo.com,California (Anaheim),0.0,0.0,100.0,mc-gateway.lansmart.com,California (Fresno),98.0,17.0,0.0,dnsauth1.sys.gtei.net,California (Los Angeles),99.0,10.0,0.0,rx0ar-technicare.ed.bigpipeinc.com,Canada (Edmonton),95.0,49.0,0.0,gw02.wlfdle.phub.net.cable.rogers.com,Canada (Ontario),100.0,0.0,0.0,anguhub14.net.ubc.ca,Canada (Vancouver),0.0,0.0,100.0,loopback0.gw2.den4.alter.net,Colorado (Denver),0.0,0.0,100.0,router.firstcls.com,Georgia,0.0,0.0,100.0,atl-datacenter-gw2.capitalinternet.com,Georgia (Atlanta),0.0,0.0,100.0,loopback0.gw9.chi2.alter.net,Illinois (Chicago),100.0,0.0,0.0,cisco-gnarly.n-connect.net,Iowa,100.0,0.0,0.0,crystal-cavern.ctcco.com,Kansas (Lenexa),0.0,0.0,100.0,cisco.syssrc.com,Maryland,97.0,26.0,0.0,router-in.nemetschek.net,Maryland (Columbia),100.0,0.0,0.0,pos1-0-0-155m.ar1.bos1.gblx.net,Massachusetts (Boston),92.0,72.0,0.0,lan-d32-0606-0578.uninet-ide.com.mx,Mexico (Chihuahua),100.0,0.0,0.0,rr1.torixt.avantel.net.mx,Mexico (Coahuila),96.0,40.0,0.0,rr2.gdlmha.avantel.net.mx,Mexico (Guadalajara),96.0,35.0,0.0,rr1.reyixt.avantel.net.mx,Mexico (Tamaulipas),95.0,47.0,0.0,revenant.netservicesgroup.com,Michigan (Saginaw),100.0,0.0,0.0,border0-e0.oc48-ypsi.hdl.com,Michigan (Ypsilanti),0.0,0.0,100.0,wormhole.homeisp.com,Missouri (Kansas City),100.0,0.0,0.0,pwps-core01.powerpulse.cc,Nevada (Las Vegas),94.0,55.0,0.0,isp.state.nh.us,New Hampshire,100.0,0.0,0.0,sugaree.arorapc.com,New Jersey,100.0,0.0,0.0,ac-gw.dandy.net,New Jersey (Atlantic City),0.0,0.0,100.0,180.atm6-0.gw7.nyc9.alter.net,New York (NYC),0.0,0.0,100.0,wookie.core.3z.net,Ohio (Cincinnati),0.0,0.0,100.0,sl-bb21-pen-15-0.sprintlink.net,Pennsylvania (Philadelphia),0.0,0.0,100.0,gw-inet.ktc.com,Texas,100.0,0.0,0.0,core-router.centramedia.net,Texas (Pampa),0.0,0.0,100.0,www.xmission.com,Utah (Salt Lake City),96.0,34.0,0.0,er01.asbn.eli.net,Virginia (Ashburn),0.0,0.0,100.0,core1-sttl.sitespecific.net,Washington (Seattle),0.0,0.0,100.0,gate.netwrx1.com,Wisconsin,92.0,74.0,0.0,core-1601-bmia-elkwpop-1-3.mia.net,Wisconsin (Elkhorn),0.0,0.0,100.0,5dl-dst-rt2.5ninesdata.com,Wisconsin (Madison),100.0,0.0,0.0
Router,Location,Current Index,Response Time (ms),Packet Loss (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anhm7204.exo.com,California (Anaheim),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc-gateway.lansmart.com,California (Fresno),98,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dnsauth1.sys.gtei.net,California (Los Angeles),99,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rx0ar-technicare.ed.bigpipeinc.com,Canada (Edmonton),95,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gw02.wlfdle.phub.net.cable.rogers.com,Canada (Ontario),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anguhub14.net.ubc.ca,Canada (Vancouver),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loopback0.gw2.den4.alter.net,Colorado (Denver),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
router.firstcls.com,Georgia,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atl-datacenter-gw2.capitalinternet.com,Georgia (Atlanta),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loopback0.gw9.chi2.alter.net,Illinois (Chicago),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cisco-gnarly.n-connect.net,Iowa,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-cavern.ctcco.com,Kansas (Lenexa),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cisco.syssrc.com,Maryland,97,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
router-in.nemetschek.net,Maryland (Columbia),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos1-0-0-155m.ar1.bos1.gblx.net,Massachusetts (Boston),92,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lan-d32-0606-0578.uninet-ide.com.mx,Mexico (Chihuahua),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr1.torixt.avantel.net.mx,Mexico (Coahuila),96,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr2.gdlmha.avantel.net.mx,Mexico (Guadalajara),96,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rr1.reyixt.avantel.net.mx,Mexico (Tamaulipas),95,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenant.netservicesgroup.com,Michigan (Saginaw),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border0-e0.oc48-ypsi.hdl.com,Michigan (Ypsilanti),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wormhole.homeisp.com,Missouri (Kansas City),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pwps-core01.powerpulse.cc,Nevada (Las Vegas),94,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isp.state.nh.us,New Hampshire,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugaree.arorapc.com,New Jersey,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac-gw.dandy.net,New Jersey (Atlantic City),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.atm6-0.gw7.nyc9.alter.net,New York (NYC),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wookie.core.3z.net,Ohio (Cincinnati),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl-bb21-pen-15-0.sprintlink.net,Pennsylvania (Philadelphia),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gw-inet.ktc.com,Texas,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core-router.centramedia.net,Texas (Pampa),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.xmission.com,Utah (Salt Lake City),96,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er01.asbn.eli.net,Virginia (Ashburn),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core1-sttl.sitespecific.net,Washington (Seattle),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gate.netwrx1.com,Wisconsin,92,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core-1601-bmia-elkwpop-1-3.mia.net,Wisconsin (Elkhorn),0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dl-dst-rt2.5ninesdata.com,Wisconsin (Madison),100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
