4G LTE not working ,4G LTE speed issues ,Cell service down ,Date/Time,Everything is down ,How long ago,Internet down ,Internet speed issues ,Issue,Landline problems ,Location,Provider,Reports in last 20 minutes,Source,Text sending problems ,Website down 
,,,Thu 21 Mar 2019 17:33:13,,22h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:13,,22h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:13,,21h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:13,,20h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:13,,15h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:13,,13h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,27%,Thu 21 Mar 2019 17:33:13,20%,4h,40%,7%,Internet down,,"Clarkston, MI",AT&T,3,Outage Report,,7%
,,27%,Thu 21 Mar 2019 17:33:13,20%,2h,40%,7%,Internet down,,TX,AT&T,3,Outage Report,,7%
,,27%,Thu 21 Mar 2019 17:33:13,20%,1h,40%,7%,Internet speed issues,,"Littleton, CO",AT&T,3,Outage Report,,7%
,,27%,Thu 21 Mar 2019 17:33:13,20%,16m,40%,7%,Internet down,,"Sheboygan, WI",AT&T,3,Outage Report,,7%
,,27%,Thu 21 Mar 2019 17:33:13,20%,8m,40%,7%,Cell service down,,"Temple, TX",AT&T,3,Outage Report,,7%
,,27%,Thu 21 Mar 2019 17:33:13,20%,4m,40%,7%,Cell service down,,"Goldthwaite, TX",AT&T,3,Outage Report,,7%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,1h,,,4G LTE not working,,"Mira Loma, CA",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,41m,,,4G LTE not working,,"Monte Vista, CO",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,25m,,,Cell service down,,TX,Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,18m,,,4G LTE not working,,MO,Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,11m,,,Cell service down,,"Edinburg, TX",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:21:50,6%,3m,,,Cell service down,,"Petersburg, MI",Sprint,3,Outage Report,12%,6%
,,17%,Thu 21 Mar 2019 16:21:48,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:48,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:48,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:48,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:48,17%,52m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:48,17%,9m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 16:22:17,,17h,50%,25%,Internet down,,"Minneapolis, MN",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:17,,16h,50%,25%,Internet down,,"Madison, WI",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:17,,10h,50%,25%,Internet down,,"Alexander City, AL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:17,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:17,,28m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:17,,9m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 17:33:24,,17h,40%,40%,Internet down,,"Madison, WI",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:33:24,,11h,40%,40%,Internet down,,"Alexander City, AL",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:33:24,,2h,40%,40%,Website down,,"Omaha, NE",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:33:24,,1h,40%,40%,Internet speed issues,,"Kennesaw, GA",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:33:24,,1h,40%,40%,Internet down,,"Fort Lauderdale, FL",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:33:24,,49m,40%,40%,Internet speed issues,,"Newark, OH",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:36:57,,Mar 19,100%,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:57,,Mar 19,100%,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:57,,Mar 20,100%,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:57,,23h,100%,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:57,,20h,100%,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:57,,1h,100%,,Internet down,,"Salt Lake City, UT",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,Mar 19,,,Internet down,,"Keego Harbor, MI",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,Mar 19,,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,Mar 19,,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,Mar 20,,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,22h,,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:19,,19h,,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,Mar 19,,,Internet down,,"Keego Harbor, MI",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,Mar 19,,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,Mar 19,,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,Mar 20,,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,22h,,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:01,,19h,,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,17%,Thu 21 Mar 2019 16:22:36,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:36,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:36,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:36,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:36,17%,52m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:36,17%,10m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 16:22:12,,17h,50%,25%,Internet down,,"Minneapolis, MN",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:12,,16h,50%,25%,Internet down,,"Madison, WI",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:12,,10h,50%,25%,Internet down,,"Alexander City, AL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:12,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:12,,28m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:12,,9m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 17:36:50,67%,16h,33%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:50,67%,12h,33%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:50,67%,12h,33%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:50,67%,10h,33%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:50,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:50,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,4h,43%,7%,Internet down,,"Clarkston, MI",AT&T,3,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,2h,43%,7%,Internet down,,TX,AT&T,3,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,1h,43%,7%,Internet speed issues,,"Littleton, CO",AT&T,3,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,19m,43%,7%,Internet down,,"Sheboygan, WI",AT&T,3,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,11m,43%,7%,Cell service down,,"Temple, TX",AT&T,3,Outage Report,,
,,29%,Thu 21 Mar 2019 17:36:47,21%,7m,43%,7%,Cell service down,,"Goldthwaite, TX",AT&T,3,Outage Report,,
,,,Thu 21 Mar 2019 16:21:43,,17h,50%,25%,Internet down,,"Minneapolis, MN",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:21:43,,16h,50%,25%,Internet down,,"Madison, WI",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:21:43,,10h,50%,25%,Internet down,,"Alexander City, AL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:21:43,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:21:43,,27m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:21:43,,8m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:18,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:18,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:18,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:18,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:18,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:18,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,16h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,11h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,11h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,10h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:42,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:40,,17h,40%,40%,Internet down,,"Madison, WI",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:13:40,,11h,40%,40%,Internet down,,"Alexander City, AL",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:13:40,,2h,40%,40%,Website down,,"Omaha, NE",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:13:40,,1h,40%,40%,Internet speed issues,,"Kennesaw, GA",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:13:40,,1h,40%,40%,Internet down,,"Fort Lauderdale, FL",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 17:13:40,,29m,40%,40%,Internet speed issues,,"Newark, OH",Windstream,0,Outage Report,,20%
,,,Thu 21 Mar 2019 16:22:09,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:09,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:09,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:09,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:09,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:09,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,1h,,,Cell service down,,TX,Sprint,0,Outage Report,11%,5%
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,1h,,,4G LTE not working,,MO,Sprint,0,Outage Report,11%,5%
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,1h,,,Cell service down,,"Edinburg, TX",Sprint,0,Outage Report,11%,5%
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,1h,,,Cell service down,,"Petersburg, MI",Sprint,0,Outage Report,11%,5%
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,1h,,,4G LTE not working,,"Edinburg, TX",Sprint,0,Outage Report,11%,5%
42%,5%,32%,Thu 21 Mar 2019 17:33:15,5%,26m,,,4G LTE not working,,"San Antonio, TX",Sprint,0,Outage Report,11%,5%
,,17%,Thu 21 Mar 2019 16:22:09,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:09,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:09,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:09,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:09,17%,52m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:09,17%,9m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 17:33:16,,18h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:16,,17h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:16,,12h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:16,,5h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:16,,3h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:16,,1h,100%,,Internet down,,"Taylor, MI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,17h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,11h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,5h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,3h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:05,,59m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,16h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,11h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,11h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,10h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,,Mar 19,,,Internet down,,"Keego Harbor, MI",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,,Mar 19,,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,,Mar 19,,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
