4G LTE not working ,4G LTE speed issues ,Cell service down ,Date/Time,Everything is down ,How long ago,Internet down ,Internet speed issues ,Issue,Landline problems ,Location,Provider,Reports in last 20 minutes,Source,Text sending problems ,Website down 
,,,Thu 21 Mar 2019 16:22:14,,Mar 20,,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,,22h,,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,,19h,,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:44,,17h,50%,25%,Internet down,,"Minneapolis, MN",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,16h,50%,25%,Internet down,,"Madison, WI",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,10h,50%,25%,Internet down,,"Alexander City, AL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,28m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:44,,9m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 17:33:17,67%,16h,33%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,12h,33%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,12h,33%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,10h,33%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:17,67%,2h,33%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,10h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,4h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,2h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:22:07,,6m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,10h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,4h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,2h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:35,,5m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,1,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,19h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:34,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:38,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,17%,Thu 21 Mar 2019 16:22:05,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,52m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:22:05,17%,9m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 17:13:32,,22h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,21h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,20h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,14h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:32,,13h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,22h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,21h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,20h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,14h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:04,,13h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 19,100%,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 19,100%,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,Mar 20,100%,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,23h,100%,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,20h,100%,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:33:26,,56m,100%,,Internet down,,"Salt Lake City, UT",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:36,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,16h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,11h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,11h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,10h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:14,40%,2h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,Mar 19,100%,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,Mar 19,100%,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,Mar 20,100%,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,23h,100%,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,20h,100%,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 17:15:15,,38m,100%,,Internet down,,"Salt Lake City, UT",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,21h,,,Cell service down,,"Saint Charles, MN",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,20h,,,Cell service down,,"Marietta, GA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,20h,,,Internet down,,"Hampton, VA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,19h,,,Internet down,,"Philadelphia, PA",Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,13h,,,Internet down,,not recognized,Verizon,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:05,,12h,,,Internet down,,"Washington, DC",Verizon,0,Outage Report,,
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,1h,,,4G LTE not working,,"Mira Loma, CA",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,42m,,,4G LTE not working,,"Monte Vista, CO",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,26m,,,Cell service down,,TX,Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,18m,,,4G LTE not working,,MO,Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,12m,,,Cell service down,,"Edinburg, TX",Sprint,3,Outage Report,12%,6%
35%,6%,35%,Thu 21 Mar 2019 16:22:37,6%,4m,,,Cell service down,,"Petersburg, MI",Sprint,3,Outage Report,12%,6%
,,15%,Thu 21 Mar 2019 17:15:03,23%,6h,38%,8%,Internet down,,TX,AT&T,0,Outage Report,,15%
,,15%,Thu 21 Mar 2019 17:15:03,23%,5h,38%,8%,Cell service down,,TX,AT&T,0,Outage Report,,15%
,,15%,Thu 21 Mar 2019 17:15:03,23%,5h,38%,8%,Internet down,,"Exton, PA",AT&T,0,Outage Report,,15%
,,15%,Thu 21 Mar 2019 17:15:03,23%,3h,38%,8%,Internet down,,"Clarkston, MI",AT&T,0,Outage Report,,15%
,,15%,Thu 21 Mar 2019 17:15:03,23%,1h,38%,8%,Internet down,,TX,AT&T,0,Outage Report,,15%
,,15%,Thu 21 Mar 2019 17:15:03,23%,1h,38%,8%,Internet speed issues,,"Littleton, CO",AT&T,0,Outage Report,,15%
,,,Thu 21 Mar 2019 16:21:44,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,Mar 19,,,Internet down,,"Keego Harbor, MI",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,Mar 19,,,Landline problems,,"Woodstock, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,Mar 19,,,Internet down,,"Seattle, WA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,Mar 20,,,Internet down,,"Cambridge, MA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,22h,,,Internet down,,"Decatur, GA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:44,,19h,,,Internet down,,"Oakland, CA",Comcast Business,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:00,,17h,50%,25%,Internet down,,"Minneapolis, MN",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:00,,16h,50%,25%,Internet down,,"Madison, WI",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:00,,10h,50%,25%,Internet down,,"Alexander City, AL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:00,,1h,50%,25%,Website down,,"Omaha, NE",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:00,,28m,50%,25%,Internet speed issues,,"Kennesaw, GA",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 16:22:00,,8m,50%,25%,Internet down,,"Fort Lauderdale, FL",Windstream,1,Outage Report,,25%
,,,Thu 21 Mar 2019 17:36:49,,18h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:49,,17h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:49,,12h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:49,,5h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:49,,3h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:36:49,,1h,100%,,Internet down,,"Taylor, MI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,17h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,16h,100%,,Internet down,,"The Bronx, NY",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,11h,100%,,Internet down,,"Pacoima, CA",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,5h,100%,,Internet down,,"Charlotte, NC",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,3h,100%,,Internet down,,"Lake Geneva, WI",Time Warner Cable,0,Outage Report,,
,,,Thu 21 Mar 2019 17:13:34,,57m,100%,,Internet down,,"Taylor, MI",Time Warner Cable,0,Outage Report,,
,,17%,Thu 21 Mar 2019 16:21:33,17%,5h,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:33,17%,5h,39%,11%,Cell service down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:33,17%,4h,39%,11%,Internet down,6%,"Exton, PA",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:33,17%,2h,39%,11%,Internet down,6%,"Clarkston, MI",AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:33,17%,51m,39%,11%,Internet down,6%,TX,AT&T,1,Outage Report,,11%
,,17%,Thu 21 Mar 2019 16:21:33,17%,9m,39%,11%,Internet speed issues,6%,"Littleton, CO",AT&T,1,Outage Report,,11%
,,,Thu 21 Mar 2019 16:22:14,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:22:14,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:36,40%,15h,60%,,Internet down,,"The Bronx, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:36,40%,10h,60%,,Internet down,,"New York, NY",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:36,40%,10h,60%,,Internet down,,"Santa Fe, NM",Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:36,40%,9h,60%,,Internet down,,not recognized,Optimum,0,Outage Report,,
,,,Thu 21 Mar 2019 16:21:36,40%,1h,60%,,Everything is down,,"Brooklyn, NY",Optimum,0,Outage Report,,
